               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  60,            0.027836,           0.0097602,           0.0034042,             0.18745,              0.1809,             0.13302,            0.077346,            0.045254,            0.015366,            0.057313,           0.0042445,           0.0042445,           0.0042445
                  61,            0.026859,           0.0094538,           0.0036389,             0.17652,             0.15625,             0.12121,            0.071867,            0.044124,            0.016366,             0.05245,           0.0041094,           0.0041094,           0.0041094
                  62,            0.026684,            0.010377,           0.0039236,             0.12119,             0.30726,             0.12932,             0.06903,            0.045699,            0.015767,            0.052248,           0.0039757,           0.0039757,           0.0039757
                  63,            0.026054,           0.0097329,              0.0031,             0.14095,             0.22082,             0.13024,             0.07215,            0.044642,            0.015885,            0.052292,           0.0038434,           0.0038434,           0.0038434
                  64,            0.026822,            0.010167,           0.0034851,             0.16186,             0.14816,             0.10714,            0.062931,            0.044243,             0.01569,            0.055469,           0.0037128,           0.0037128,           0.0037128
                  65,            0.026186,           0.0091692,           0.0031836,             0.18346,             0.24125,              0.1335,            0.075451,            0.045145,            0.015433,            0.042072,            0.003584,            0.003584,            0.003584
                  66,            0.026088,            0.009653,           0.0029141,             0.11632,             0.30122,             0.12349,            0.069148,            0.045726,            0.015139,            0.053252,            0.003457,            0.003457,            0.003457
                  67,            0.026301,            0.010433,           0.0031719,             0.16747,             0.22282,              0.1413,            0.080587,            0.044107,             0.01518,            0.040468,           0.0033321,           0.0033321,           0.0033321
                  68,            0.025773,           0.0097871,           0.0032449,             0.14787,             0.24866,             0.12627,             0.07367,            0.043304,            0.015323,            0.053855,           0.0032093,           0.0032093,           0.0032093
                  69,             0.02562,           0.0096206,           0.0027397,             0.14986,             0.23849,             0.13055,            0.075215,            0.044054,            0.015096,            0.053589,           0.0030888,           0.0030888,           0.0030888
                  70,            0.024736,           0.0096464,           0.0032951,             0.14379,             0.25213,             0.13157,              0.0748,            0.045704,            0.015445,            0.048181,           0.0029706,           0.0029706,           0.0029706
                  71,            0.024357,           0.0095833,           0.0030918,             0.20967,             0.14594,             0.12964,            0.077136,            0.046383,             0.01603,            0.050718,            0.002855,            0.002855,            0.002855
                  72,            0.025073,            0.010406,           0.0029107,             0.12028,             0.31763,             0.13449,              0.0781,            0.044436,            0.015779,            0.049534,           0.0027419,           0.0027419,           0.0027419
                  73,            0.024725,           0.0091631,           0.0037319,             0.16048,             0.30133,             0.15359,             0.09276,            0.043863,            0.016523,            0.044346,           0.0026316,           0.0026316,           0.0026316
                  74,            0.024605,           0.0098261,           0.0026669,             0.18086,             0.28625,             0.16533,            0.092671,             0.04434,             0.01528,            0.047267,           0.0025241,           0.0025241,           0.0025241
                  75,            0.024518,             0.00923,           0.0026637,              0.2044,             0.23773,             0.14719,            0.084397,             0.04423,            0.016683,            0.048503,           0.0024195,           0.0024195,           0.0024195
                  76,            0.023349,           0.0084901,           0.0027382,             0.22543,             0.25079,             0.17228,             0.10062,            0.043749,            0.016594,            0.043208,            0.002318,            0.002318,            0.002318
                  77,            0.024391,           0.0089533,           0.0024159,             0.25537,             0.25318,             0.18521,               0.107,            0.043653,            0.015552,             0.04681,           0.0022196,           0.0022196,           0.0022196
                  78,            0.023667,           0.0094314,           0.0029546,             0.15318,             0.26811,              0.1547,            0.094862,            0.043816,            0.016884,            0.047702,           0.0021245,           0.0021245,           0.0021245
                  79,              0.0236,           0.0086592,           0.0019699,             0.17038,             0.28748,              0.1549,            0.093679,            0.043397,            0.016273,            0.055428,           0.0020327,           0.0020327,           0.0020327
                  80,            0.023607,           0.0096439,           0.0026075,               0.263,             0.21788,             0.16357,             0.10022,            0.044468,            0.016384,            0.050459,           0.0019443,           0.0019443,           0.0019443
                  81,            0.023308,           0.0087569,           0.0025396,             0.22634,             0.19887,             0.14788,            0.088103,            0.043743,            0.017086,            0.046356,           0.0018594,           0.0018594,           0.0018594
                  82,            0.023871,           0.0097088,           0.0024377,             0.20746,             0.24912,             0.14888,            0.087488,            0.043336,            0.016383,            0.044364,           0.0017781,           0.0017781,           0.0017781
                  83,            0.022911,           0.0079682,           0.0023329,             0.22845,             0.21319,             0.15099,            0.089674,            0.043538,             0.01638,            0.045708,           0.0017005,           0.0017005,           0.0017005
                  84,            0.023255,           0.0096612,           0.0024366,              0.2079,             0.20743,             0.15812,            0.092547,            0.043791,            0.016813,            0.046948,           0.0016267,           0.0016267,           0.0016267
                  85,            0.022593,           0.0085136,           0.0023883,             0.16644,             0.25019,             0.13835,            0.079212,            0.044312,            0.016648,            0.047242,           0.0015566,           0.0015566,           0.0015566
                  86,            0.022426,           0.0088065,           0.0021893,             0.19698,             0.23116,             0.15234,            0.089006,            0.044746,            0.016803,            0.046566,           0.0014905,           0.0014905,           0.0014905
                  87,            0.022571,           0.0081046,           0.0021055,             0.15693,             0.28812,             0.15069,            0.091465,            0.043893,            0.016802,            0.048321,           0.0014283,           0.0014283,           0.0014283
                  88,            0.022391,           0.0087502,           0.0022676,             0.19281,             0.18766,             0.14793,            0.086815,            0.043771,            0.016627,            0.052704,           0.0013701,           0.0013701,           0.0013701
                  89,            0.022378,           0.0084039,           0.0022415,             0.15138,             0.21218,             0.13175,            0.081353,            0.043985,            0.017289,            0.050068,            0.001316,            0.001316,            0.001316
                  90,             0.02256,           0.0088944,           0.0020692,              0.1935,              0.1435,             0.13873,            0.088205,            0.043598,            0.017562,            0.046599,            0.001266,            0.001266,            0.001266
                  91,            0.022185,            0.008155,           0.0017781,             0.16016,             0.24716,              0.1494,            0.090685,             0.04337,             0.01736,            0.048807,           0.0012202,           0.0012202,           0.0012202
                  92,            0.022042,           0.0087743,           0.0021196,             0.12627,             0.23387,             0.12318,             0.07446,            0.044588,             0.01766,            0.046225,           0.0011787,           0.0011787,           0.0011787
                  93,            0.022737,           0.0091409,           0.0021105,             0.10944,             0.30241,             0.14196,            0.086002,            0.043601,            0.017449,            0.045523,           0.0011414,           0.0011414,           0.0011414
                  94,            0.022136,           0.0083615,           0.0017561,             0.15698,             0.28812,             0.14662,            0.086838,            0.044674,            0.017507,             0.04882,           0.0011084,           0.0011084,           0.0011084
                  95,            0.022032,           0.0088049,           0.0019049,             0.16438,             0.24301,             0.14105,             0.08533,            0.045209,            0.017026,            0.047476,           0.0010797,           0.0010797,           0.0010797
                  96,            0.021941,           0.0090048,           0.0016573,             0.15819,             0.23669,             0.13626,            0.085412,            0.044507,            0.017606,            0.045525,           0.0010554,           0.0010554,           0.0010554
                  97,            0.022611,           0.0094511,           0.0016617,             0.16743,             0.24302,             0.14615,            0.090578,             0.04454,            0.017269,            0.043796,           0.0010355,           0.0010355,           0.0010355
                  98,            0.021627,           0.0077151,            0.001559,             0.19491,             0.17313,              0.1386,             0.08547,            0.043955,            0.017446,            0.045554,             0.00102,             0.00102,             0.00102
                  99,            0.021617,           0.0075888,           0.0016257,             0.17288,             0.24902,             0.15286,             0.09272,            0.043737,            0.018019,            0.046296,           0.0010089,           0.0010089,           0.0010089
